shape_id,building_no,name,aliases,part_index,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_width,bbox_height,bbox_area,label_x,label_y,assignment_distance,assignment_quality,svg_path
building_part_047,54,西5号館,,1,242.171,307.032,228.377,297.498,255.966,316.567,27.589,19.069,526.094,237.248,303.961,0,high,"M 242.172,297.498 L 228.377,297.498 L 228.377,316.567 L 242.172,316.567 L 242.172,308.521 L 254.077,308.521 C 254.077,308.499 254.072,308.473 254.072,308.452 L 254.072,306.291 C 254.072,305.215 254.907,304.34 255.966,304.27 L 255.966,297.498 L 242.172,297.498 Z"
building_part_048,55,西食堂,,1,243.05,324.341,231.488,315.615,254.613,333.067,23.126,17.452,403.595,236.394,326.949,0,high,"M 244.604,315.615 L 244.604,321.701 L 232.637,321.701 C 232.001,321.701 231.488,322.222 231.488,322.856 L 231.488,331.779 C 231.488,332.409 232.001,332.931 232.637,332.931 L 244.604,332.931 L 244.604,333.067 L 254.613,333.067 L 254.613,315.615 L 244.604,315.615 Z"
building_part_049,56,西10号館,,1,264.993,334.148,253.734,309.4,276.251,358.895,22.517,49.495,1114.479,268.645,336.848,0,high,"M 260.225,309.4 L 260.225,340.435 L 253.734,340.435 L 253.734,358.895 L 276.251,358.895 L 276.251,309.4 L 260.225,309.4 Z"
building_part_050,57,西31号館,,1,230.473,352.807,216.071,346.183,244.875,359.431,28.804,13.248,381.595,228.373,351.809,0,high,"M 244.875,346.183 L 224.319,346.183 L 224.319,349.288 L 216.071,349.288 L 216.071,359.431 L 229.592,359.431 L 229.592,356.321 L 244.875,356.321 L 244.875,346.183 Z"
building_part_051,58,弓道場,,1,206.43,209.908,201.427,206.797,211.432,213.019,10.005,6.222,62.251,206.19,236.417,26.511,low,"M 201.427,206.797 L 211.432,206.797 L 211.432,213.019 L 201.427,213.019 Z"
building_part_052,58,弓道場,,2,206.43,238.846,201.427,235.735,211.432,241.958,10.005,6.223,62.261,206.19,236.417,0,high,"M 201.427,235.735 L 211.432,235.735 L 211.432,241.958 L 201.427,241.958 Z"
building_part_053,59,プール,,1,107.512,242.805,99.195,228.605,115.829,257.004,16.634,28.399,472.389,107.173,240.174,0,high,"M 102.036,233.067 L 112.989,233.067 L 112.989,254.771 L 102.036,254.771 Z M 99.195,228.605 L 115.829,228.605 L 115.829,257.004 L 99.195,257.004 Z"
building_part_054,60,西6号館,,1,200.517,263.755,190.508,257.063,210.526,270.448,20.018,13.385,267.941,200.797,263.091,0,high,"M 190.508,257.063 L 210.526,257.063 L 210.526,270.448 L 190.508,270.448 Z"
building_part_055,61,西7号館,レーザー新世代研究センター,1,167.86,263.282,151.563,255.303,184.157,271.262,32.594,15.959,520.168,159.131,263.742,0,high,"M 171.847,259.364 L 171.847,255.303 L 157.378,255.303 L 157.378,259.364 L 151.563,259.364 L 151.563,271.262 L 184.157,271.262 L 184.157,259.364 L 171.847,259.364 Z"
building_part_056,62,西11号館,フォトニックイノベーション研究センター,1,137.771,264.494,129.416,252.452,146.127,276.537,16.711,24.085,402.484,136.767,272.693,0,high,"M 146.127,276.537 L 146.127,255.019 L 143.756,255.019 L 143.756,252.452 L 129.416,252.452 L 129.416,276.537 L 146.127,276.537 Z"
