group,category,subject,source_urls
1年,学年別,微分積分学第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,線形代数学第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,線形代数学第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,物理学概論第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,物理学概論第二,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,基礎物理学演習第一（留学生のみ）,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,基礎物理学演習第二（留学生のみ）,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,基礎数学演習第一（留学生のみ）,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,基礎数学演習第二（留学生のみ）,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
1年,学年別,数学演習第一,https://kyoumu.office.uec.ac.jp/timet/A1.pdf;https://kyoumu.office.uec.ac.jp/timet/English1.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai1.pdf;https://kyoumu.office.uec.ac.jp/timet/A2.pdf;https://kyoumu.office.uec.ac.jp/timet/English2.pdf;https://kyoumu.office.uec.ac.jp/timet/2gai2.pdf;https://kyoumu.office.uec.ac.jp/timet/B1.pdf;https://kyoumu.office.uec.ac.jp/timet/B2.pdf
