admission_year,cluster,course,subject,subject_code,credits,requirement_type,category_path,eligible_years,remarks,source_pdf,source_page,source_url
2024,Ⅱ類（融合系）,先端ロボティクス,微分積分学第二,MTH201z,2,未判定,,[1],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,線形代数学第一,MTH102z,2,未判定,,[1],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,線形代数学第二,MTH202z,2,未判定,,[1],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,解析学,MTH203z,2,未判定,,[1],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,数学演習第一,MTH103z,1,未判定,,[1],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,数学演習第二,MTH204z,1,未判定,,[1],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,物理学概論第一,PHY102z,2,未判定,,[1],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,物理学概論第二,PHY202z,2,未判定,,[1],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,化学概論第一,CHM102z,2,未判定,,[1],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,基礎プログラミングおよび演習,COM201z,2,未判定,,[1],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,物理学演習第一,PHY103z,1,未判定,科選 目択,[1],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,物理学演習第二,PHY203z,1,未判定,科選 目択,[1],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,化学概論第二,CHM203z,2,未判定,科選 目択,[1],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,確率統計,MTH301j,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,力学,PHY204j,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[1],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,基礎電気回路,ELE301j,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,基礎電磁気学,PHY301j,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,力学演習,PHY302j,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,基礎演習Ａ,GSE301j,1,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,複素関数論,MTH302j,2,未判定,類 共 通 基 礎 科 目 / 選 科 択 必 目 修,[2],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,数値解析およびプログラミング演習,COM301j,3,未判定,類 共 通 基 礎 科 目 / 選 科 択 必 目 修,[2],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,応用数学Ａ,MTH303j,2,未判定,類 共 通 基 礎 科 目 / 選 科 択 必 目 修,[2],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,応用数学Ｂ,MTH401j,2,未判定,類 共 通 基 礎 科 目 / 選 科 択 必 目 修,[2],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,離散数学,MTH304j,2,未判定,類 共 通 基 礎 科 目 / 科選 目択,[2],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,波動と光,PHY303j,2,未判定,類 共 通 基 礎 科 目 / 科選 目択,[2],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,アルゴリズムとデータ構造およびプログラミング演習,COM401j,3,未判定,類 共 通 基 礎 科 目 / 科自 目由,[2],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,基礎演習Ｂ,MTH402j,1,未判定,類 共 通 基 礎 科 目 / 科自 目由,[2],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,機械力学および演習 材料力学および演習,MCE401j MCE402j,3 3,必修,類 専 門 科 目 / 先 端 ロ ボ テ ィ ク ス プ ロ グ ラ ム / 必 修 科 目,[2],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,メカノデザイン,MCE403j,2,必修,類 専 門 科 目 / 先 端 ロ ボ テ ィ ク ス プ ロ グ ラ ム / 必 修 科 目,[2],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
2024,Ⅱ類（融合系）,先端ロボティクス,ロボットの機構と力学,MCE501j,2,必修,類 専 門 科 目 / 先 端 ロ ボ テ ィ ク ス プ ロ グ ラ ム / 必 修 科 目,[3],,youran2024-gakuiki.pdf,142,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=142
