admission_year,cluster,course,subject,subject_code,credits,requirement_type,category_path,eligible_years,remarks,source_pdf,source_page,source_url
2020,Ⅲ類（理工系）,機械システム,微分積分学第一,MTH101z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],修得した単位は共通 単位とする。 修得した単位は共通単位 とする。(夜間主コース学 生が「分子生物学」の単 位を修得した場合は、専 門基礎科目の選択科目と する。),youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,微分積分学第二,MTH201z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,線形代数学第一,MTH102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,線形代数学第二,MTH202z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,解析学,MTH203z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,数学演習第一,MTH103z,1,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,数学演習第二,MTH204z,1,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,物理学概論第一,PHY102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,物理学概論第二,PHY201z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,化学概論第一,CHM102z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,基礎プログラミングおよび演習,COM201z,2,必修,理 数 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,物理学演習第一,PHY103z,1,未判定,理 数 基 礎 科 目 / 科選 目択,[1],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,物理学演習第二,PHY202z,1,未判定,理 数 基 礎 科 目 / 科選 目択,[1],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,化学概論第二,CHM202z,2,未判定,理 数 基 礎 科 目 / 科選 目択,[1],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,力学,PHY203j,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,力学演習,PHY204j,1,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[1],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,工学基礎数学および演習,MTH301j,3,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,熱力学,PHY301j,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,基礎電磁気学および演習,PHY302j,3,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,基礎電気回路,ELE301j,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,複素関数論,MTH302j,2,選択必修,類 共 通 基 礎 科 目 / 選 択 必 修 科 目,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,数値解析,COM301j,2,選択必修,類 共 通 基 礎 科 目 / 選 択 必 修 科 目,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,確率統計,MTH303j,2,選択必修,類 共 通 基 礎 科 目 / 選 択 必 修 科 目,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,計測工学概論,GSE301j,2,選択必修,類 共 通 基 礎 科 目 / 選 択 必 修 科 目,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,電磁気学および演習,PHY401j,3,選択必修,類 共 通 基 礎 科 目 / 選 択 必 修 科 目,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,基礎電子回路,ELE401j,2,選択必修,類 共 通 基 礎 科 目 / 選 択 必 修 科 目,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,プログラミング演習,COM401j,2,選択必修,類 共 通 基 礎 科 目 / 選 択 必 修 科 目,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,計算機工学,COM402j,2,未判定,類 共 通 基 礎 科 目 / 科選 目択,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,分子生物学,BIO401j,2,未判定,類 共 通 基 礎 科 目 / 科選 目択,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,材料力学および演習,MCE401j,3,必修,類 専 門 科 目 / 機 械 シ ス テ ム プ ロ グ ラ ム / 必 修 科 目,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,メカノデザイン,MCE402j,2,必修,類 専 門 科 目 / 機 械 シ ス テ ム プ ロ グ ラ ム / 必 修 科 目,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,機械力学および演習,MCE403j,3,必修,類 専 門 科 目 / 機 械 シ ス テ ム プ ロ グ ラ ム / 必 修 科 目,[2],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,知能機械工学基礎実験第一,MCE501j,2,必修,類 専 門 科 目 / 機 械 シ ス テ ム プ ロ グ ラ ム / 必 修 科 目,[3],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,知能機械工学基礎実験第二,MCE601j,2,必修,類 専 門 科 目 / 機 械 シ ス テ ム プ ロ グ ラ ム / 必 修 科 目,[3],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,マシンデザインA,MCE502j,2,必修,類 専 門 科 目 / 機 械 シ ス テ ム プ ロ グ ラ ム / 必 修 科 目,[3],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,マシンデザインB,MCE602j,2,必修,類 専 門 科 目 / 機 械 シ ス テ ム プ ロ グ ラ ム / 必 修 科 目,[3],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
2020,Ⅲ類（理工系）,機械システム,設計基礎工学,MCE503j,2,必修,類 専 門 科 目 / 機 械 シ ス テ ム プ ロ グ ラ ム / 必 修 科 目,[3],,youran2020-gakuiki.pdf,118,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=118
