admission_year,cluster,course,subject,subject_code,credits,requirement_type,category_path,eligible_years,remarks,source_pdf,source_page,source_url
2024,Ⅱ類（融合系）,電子情報学,微分積分学第二,MTH201z,2,未判定,,[1],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,線形代数学第一,MTH102z,2,未判定,,[1],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,線形代数学第二,MTH202z,2,未判定,,[1],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,解析学,MTH203z,2,未判定,,[1],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,数学演習第一,MTH103z,1,未判定,,[1],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,数学演習第二,MTH204z,1,未判定,,[1],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,物理学概論第一,PHY102z,2,未判定,,[1],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,物理学概論第二,PHY202z,2,未判定,,[1],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,化学概論第一,CHM102z,2,未判定,,[1],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,基礎プログラミングおよび演習,COM201z,2,未判定,,[1],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,物理学演習第一,PHY103z,1,未判定,,[1],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,物理学演習第二,PHY203z,1,未判定,,[1],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,化学概論第二,CHM203z,2,未判定,,[1],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,確率統計,MTH301h,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目 選 科択 目必 修 科自 目由,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,力学,PHY204h,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目 選 科択 目必 修 科自 目由,[1],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,応用数学Ａ,MTH302h,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目 選 科択 目必 修 科自 目由,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,応用数学Ｂ,MTH401h,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目 選 科択 目必 修 科自 目由,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,基礎電気回路,ELE301h,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目 選 科択 目必 修 科自 目由,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,基礎電磁気学,PHY301h,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目 選 科択 目必 修 科自 目由,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,基礎演習Ａ,GSE301h,1,必修,類 共 通 基 礎 科 目 / 必 修 科 目 選 科択 目必 修 科自 目由,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,基礎演習Ｂ,GSE401h,1,必修,類 共 通 基 礎 科 目 / 必 修 科 目 選 科択 目必 修 科自 目由,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,数値解析およびプログラミング演習,COM301h,3,必修,類 共 通 基 礎 科 目 / 必 修 科 目 選 科択 目必 修 科自 目由,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,アルゴリズムとデータ構造およびプログラミング演習,COM401h,3,必修,類 共 通 基 礎 科 目 / 必 修 科 目 選 科択 目必 修 科自 目由,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,離散数学,MTH303h,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目 選 科択 目必 修 科自 目由,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,複素関数論,MTH304h,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目 選 科択 目必 修 科自 目由,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,波動と光,PHY302h,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目 選 科択 目必 修 科自 目由,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,力学演習,PHY303h,2,必修,類 共 通 基 礎 科 目 / 必 修 科 目 選 科択 目必 修 科自 目由,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,論理回路学,ELE401h,2,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,回路システム学第一,ELE402h,2,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,回路システム学第二,ELE501h,2,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[3],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,電子回路学,ELE601h,2,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[3],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,電子情報学実験Ａ,ELE502h,3,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[3],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,電子情報学実験Ｂ１,ELE602h,2,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[3],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,電子情報学実験Ｂ２,ELE603h,1,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[3],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,輪講Ａ,LAB701h,1,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[4],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,輪講Ｂ,LAB801h,1,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[4],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,卒業研究Ａ,LAB702h,3,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[4],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,卒業研究Ｂ,LAB802h,3,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[4],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,数理統計,MTH402h,2,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,情報通信と符号化,ELE403h,2,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,基礎電子工学,ELE404h,2,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,計算機アーキテクチャー,COM402h,2,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,電磁気学第一,PHY401h,2,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[2],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
2024,Ⅱ類（融合系）,電子情報学,電磁気学第二,PHY501h,2,選択必修,類 電 子 情 専 報 学 門 プ ロ 科 グ ラ 目 ム / 必 修 科 目 選 択 必 修 科 目 選 択 科 目,[3],,youran2024-gakuiki.pdf,130,https://kyoumu.office.uec.ac.jp/youran/youran2024-gakuiki.pdf#page=130
