admission_year,cluster,course,category,credits,source_pdf,source_page,source_url
2020,Ⅲ類（理工系）,物理工学,総 合 文 化 科 目 / 小 計 / 小 計,27,youran2020-gakuiki.pdf,25,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=25
2020,Ⅲ類（理工系）,化学生命工学,総 合 文 化 科 目 / 小 計 / 小 計,27,youran2020-gakuiki.pdf,25,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=25
2020,Ⅰ類（情報系）,コンピュータサイエンス,実 践 教 育 科 目 / 初年次導入科目 / 初年次導入科目,8,youran2020-gakuiki.pdf,25,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=25
2020,Ⅱ類（融合系）,セキュリティ情報学,実 践 教 育 科 目 / 初年次導入科目 / 初年次導入科目,8,youran2020-gakuiki.pdf,25,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=25
2020,Ⅱ類（融合系）,情報通信工学,実 践 教 育 科 目 / 初年次導入科目 / 初年次導入科目,8,youran2020-gakuiki.pdf,25,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=25
2020,Ⅱ類（融合系）,電子情報学,実 践 教 育 科 目 / 初年次導入科目 / 初年次導入科目,8,youran2020-gakuiki.pdf,25,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=25
2020,Ⅱ類（融合系）,計測・制御システム,実 践 教 育 科 目 / 初年次導入科目 / 初年次導入科目,8,youran2020-gakuiki.pdf,25,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=25
2020,Ⅱ類（融合系）,先端ロボティクス,実 践 教 育 科 目 / 初年次導入科目 / 初年次導入科目,8,youran2020-gakuiki.pdf,25,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=25
2020,Ⅲ類（理工系）,機械システム,実 践 教 育 科 目 / 初年次導入科目 / 初年次導入科目,8,youran2020-gakuiki.pdf,25,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=25
2020,Ⅲ類（理工系）,電子工学,実 践 教 育 科 目 / 初年次導入科目 / 初年次導入科目,8,youran2020-gakuiki.pdf,25,https://kyoumu.office.uec.ac.jp/youran/youran2020-gakuiki.pdf#page=25
